Task,D_best,UniSO-T,GTG_ST,w=0.0,w=1.0,w=2.0,w=4.0,w=8.0,w=16.0,w=32.0,w=64.0
Ant,165.326,455.658 $\pm$ 39.188,452.330 ± 61.502,568.346 ± 10.406,574.388 ± 8.549,566.263 ± 8.668,561.212 ± 5.810,566.659 ± 9.082,564.747 ± 3.107,567.857 ± 8.753,565.456 ± 7.107
D'Kitty,199.363,222.007 $\pm$ 33.677,264.857 ± 17.571,311.384 ± 3.566,310.822 ± 1.518,308.203 ± 8.994,310.155 ± 11.200,307.139 ± 12.211,311.659 ± 9.848,305.326 ± 13.748,304.468 ± 14.558
Superconductor,74.000,82.642 $\pm$ 3.467,89.802 ± 6.763,90.914 ± 3.655,90.833 ± 3.615,92.202 ± 3.700,98.833 ± 6.457,104.827 ± 7.582,108.596 ± 12.243,104.092 ± 8.325,106.923 ± 7.899
TF Bind 8,0.439,0.857 $\pm$ 0.069,0.934 ± 0.030,0.718 ± 0.095,0.718 ± 0.095,0.780 ± 0.071,0.780 ± 0.061,0.800 ± 0.091,0.717 ± 0.113,0.821 ± 0.034,0.816 ± 0.116
TF Bind 10,0.005,0.944 $\pm$ 0.794,0.632 ± 0.106,0.627 ± 0.227,0.627 ± 0.227,0.650 ± 0.249,0.652 ± 0.300,0.730 ± 0.356,0.597 ± 0.108,0.649 ± 0.082,0.663 ± 0.058
GTOPX 2,-196.663,-90.106 $\pm$ 8.223,-72.163 ± 8.495,-94.874 ± 24.696,-99.536 ± 25.617,-126.143 ± 27.620,-82.143 ± 37.817,-48.779 ± 9.781,-65.063 ± 37.999,-69.415 ± 47.726,-76.584 ± 38.446
GTOPX 3,-152.364,-44.427 $\pm$ 13.456,-53.866 ± 9.877,-85.963 ± 32.525,-86.938 ± 33.593,-65.658 ± 15.598,-48.934 ± 26.540,-29.687 ± 1.663,-34.348 ± 9.069,-29.687 ± 1.663,-47.244 ± 24.893
GTOPX 4,-216.709,-74.779 $\pm$ 11.032,-72.749 ± 6.632,-136.050 ± 84.354,-135.972 ± 84.455,-80.577 ± 12.241,-81.501 ± 26.936,-49.997 ± 7.345,-49.997 ± 7.345,-49.997 ± 7.345,-57.299 ± 17.860
GTOPX 6,-111.666,-48.244 $\pm$ 5.766,-55.834 ± 9.655,-67.402 ± 4.817,-69.440 ± 4.137,-65.996 ± 9.502,-48.609 ± 17.321,-30.053 ± 1.303,-30.053 ± 1.303,-34.417 ± 10.093,-37.325 ± 15.452
Mean rank,/,6.000 $\pm$ 3.317,6.556 $\pm$ 2.833,7.111 $\pm$ 3.008,7.444 $\pm$ 3.196,6.667 $\pm$ 1.732,6.000 $\pm$ 1.500,2.889 $\pm$ 1.746,4.167 $\pm$ 3.775,3.611 $\pm$ 1.799,4.556 $\pm$ 1.740
