experiment,task,duo_n_runs,duo_max_mean,duo_max_std,duo_nmax_mean,duo_nmax_std,gtg_n_runs,gtg_max_mean,gtg_max_std,gtg_nmax_mean,gtg_nmax_std,duo_mfull_n_runs,duo_mfull_max_mean,duo_mfull_max_std,duo_mfull_nmax_mean,duo_mfull_nmax_std,duo_mfull_text_n_runs,duo_mfull_text_max_mean,duo_mfull_text_max_std,duo_mfull_text_nmax_mean,duo_mfull_text_nmax_std,duo_st_text_n_runs,duo_st_text_max_mean,duo_st_text_max_std,duo_st_text_nmax_mean,duo_st_text_nmax_std
ant_multiple_runs,ant,,,,,,5,452.33,61.502,0.859,0.063,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
dkitty_multiple_runs,dkitty,,,,,,5,264.857,17.571,0.938,0.014,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
superconductor_multiple_runs,superconductor,,,,,,5,89.802,6.763,0.485,0.037,5,100.741,12.287,0.545,0.066,8,112.23,8.1,0.607,0.044,5,76.99,3.889,0.416,0.021
tfbind8_multiple_runs,tfbind8,,,,,,5,0.934,0.03,0.934,0.03,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
tfbind10_multiple_runs,tfbind10,,,,,,5,0.632,0.106,0.625,0.027,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
gtopx2_multiple_runs,gtopx2,,,,,,5,-72.163,8.495,1.0,0.0,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
gtopx3_multiple_runs,gtopx3,,,,,,5,-53.866,9.877,1.0,0.0,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
gtopx4_multiple_runs,gtopx4,,,,,,5,-72.749,6.632,1.0,0.0,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
gtopx6_multiple_runs,gtopx6,,,,,,5,-55.834,9.655,1.0,0.0,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
100x64_k20_eps0.05_mt911054c35daad7e0_pds0_zs,lunar_lander,5,-99.552,0.349,-18.472,0.068,,,,,,,,,,,,,,,,,,,,
