Task,D_best,UniSO-T,GTG_ST,w=8.0
Ant,165.326,455.658 $\pm$ 39.188,452.330 ± 61.502,559.863 ± 8.221
D'Kitty,199.363,222.007 $\pm$ 33.677,264.857 ± 17.571,313.803 ± 4.345
Superconductor,74.000,82.642 $\pm$ 3.467,89.802 ± 6.763,108.143 ± 8.186
TF Bind 8,0.439,0.857 $\pm$ 0.069,0.934 ± 0.030,0.855 ± 0.052
TF Bind 10,0.005,0.944 $\pm$ 0.794,0.632 ± 0.106,0.642 ± 0.174
GTOPX 2,-196.663,-90.106 $\pm$ 8.223,-72.163 ± 8.495,-44.477 ± 4.761
GTOPX 3,-152.364,-44.427 $\pm$ 13.456,-53.866 ± 9.877,-29.310 ± 2.237
GTOPX 4,-216.709,-74.779 $\pm$ 11.032,-72.749 ± 6.632,-54.560 ± 14.187
GTOPX 6,-111.666,-48.244 $\pm$ 5.766,-55.834 ± 9.655,-28.580 ± 2.489
Mean rank,/,2.333 $\pm$ 0.707,2.333 $\pm$ 0.707,1.333 $\pm$ 0.707
