task,n_traj,k,eps,max_ep_reward,error
gtopx2,1000,10,0.01,-89.30039986888528,
gtopx2,1000,10,0.05,-66.86671728099151,
gtopx2,1000,10,0.1,-62.02911088398326,
gtopx2,1000,20,0.01,-87.29133907992187,
gtopx2,1000,20,0.05,-98.26679855993844,
gtopx2,1000,20,0.1,-85.07127543130278,
gtopx2,1000,30,0.01,-75.5430837000612,
gtopx2,1000,30,0.05,-83.46538016052307,
gtopx2,1000,30,0.1,-85.58595310668885,
gtopx2,1000,50,0.01,-50.25113685650098,
gtopx2,1000,50,0.05,-50.25113685650098,
gtopx2,1000,50,0.1,-90.75336911302965,
gtopx3,1000,10,0.01,-32.44295463380142,
gtopx3,1000,10,0.05,-54.29155966731823,
gtopx3,1000,10,0.1,-46.92598391076937,
gtopx3,1000,20,0.01,-57.21047872683164,
gtopx3,1000,20,0.05,-56.14780846789516,
gtopx3,1000,20,0.1,-74.14502084935867,
gtopx3,1000,30,0.01,-50.62736180499893,
gtopx3,1000,30,0.05,-59.87147100173443,
gtopx3,1000,30,0.1,-70.88685428681802,
gtopx3,1000,50,0.01,-50.2470836321982,
gtopx3,1000,50,0.05,-53.575992583638424,
gtopx3,1000,50,0.1,-54.65297709535425,
gtopx4,1000,10,0.01,-49.19427642535086,
gtopx4,1000,10,0.05,-88.89709789818907,
gtopx4,1000,10,0.1,-45.30362862668265,
gtopx4,1000,20,0.01,-62.83755054298492,
gtopx4,1000,20,0.05,-79.21793249939647,
gtopx4,1000,20,0.1,-109.671175312678,
gtopx4,1000,30,0.01,-97.08468510335706,
gtopx4,1000,30,0.05,-45.30362862668265,
gtopx4,1000,30,0.1,-68.68484447295086,
gtopx4,1000,50,0.01,-86.78585991970027,
gtopx4,1000,50,0.05,-56.55869565715414,
gtopx4,1000,50,0.1,-85.3336407451939,
gtopx6,1000,10,0.01,-40.70702338972414,
gtopx6,1000,10,0.05,-47.883885418143755,
gtopx6,1000,10,0.1,-52.89377330697203,
gtopx6,1000,20,0.01,-45.96158755215291,
gtopx6,1000,20,0.05,-50.98552133567229,
gtopx6,1000,20,0.1,-59.959124830343214,
gtopx6,1000,30,0.01,-60.73971882994119,
gtopx6,1000,30,0.05,-33.810657938647445,
gtopx6,1000,30,0.1,-53.9607706509934,
gtopx6,1000,50,0.01,-37.38981150307309,
gtopx6,1000,50,0.05,-63.81677121280687,
gtopx6,1000,50,0.1,-44.00242664124159,
