shift,phase,finetune_steps,rank,mt_text,zs_baseline,delta_vs_zs
sim_high,fs10,500,1,3.0931344032287598,5.153748512268066,-2.0606141090393066
sim_high,fs10,1000,2,10.39301872253418,5.153748512268066,5.239270210266113
sim_high,fs10,1500,3,15.014891624450684,5.153748512268066,9.861143112182617
sim_high,fs10,2000,4,29.055625915527344,5.153748512268066,23.901877403259277
sim_high,fs10,2500,5,86.81184387207031,5.153748512268066,81.65809535980225
sim_high,fs20,1000,1,1.9769105911254883,5.153748512268066,-3.176837921142578
sim_high,fs20,1500,2,7.429234504699707,5.153748512268066,2.2754859924316406
sim_high,fs20,500,3,11.056653022766113,5.153748512268066,5.902904510498047
sim_high,fs20,2000,4,36.222984313964844,5.153748512268066,31.069235801696777
sim_high,fs20,2500,5,73.17668914794922,5.153748512268066,68.02294063568115
sim_high,fs50,1000,1,1.6277713775634766,5.153748512268066,-3.52597713470459
sim_high,fs50,500,2,2.2641000747680664,5.153748512268066,-2.8896484375
sim_high,fs50,2000,3,2.3463659286499023,5.153748512268066,-2.807382583618164
sim_high,fs50,1500,4,2.640590190887451,5.153748512268066,-2.5131583213806152
sim_high,fs50,2500,5,6.510932922363281,5.153748512268066,1.3571844100952148
sim_low,fs10,2000,1,10.646349906921387,15.267696380615234,-4.621346473693848
sim_low,fs10,1000,2,22.556434631347656,15.267696380615234,7.288738250732422
sim_low,fs10,500,3,37.36437225341797,15.267696380615234,22.096675872802734
sim_low,fs10,1500,4,39.459510803222656,15.267696380615234,24.191814422607422
sim_low,fs10,2500,5,54.81541061401367,15.267696380615234,39.54771423339844
sim_low,fs20,500,1,11.934803009033203,15.267696380615234,-3.3328933715820312
sim_low,fs20,2500,2,13.8571195602417,15.267696380615234,-1.4105768203735352
sim_low,fs20,1500,3,24.045612335205078,15.267696380615234,8.777915954589844
sim_low,fs20,2000,4,27.446388244628906,15.267696380615234,12.178691864013672
sim_low,fs20,1000,5,51.39326095581055,15.267696380615234,36.12556457519531
sim_low,fs50,2500,1,5.7048258781433105,15.267696380615234,-9.562870502471924
sim_low,fs50,2000,2,19.362207412719727,15.267696380615234,4.094511032104492
sim_low,fs50,1000,3,25.380321502685547,15.267696380615234,10.112625122070312
sim_low,fs50,1500,4,28.395959854125977,15.267696380615234,13.128263473510742
sim_low,fs50,500,5,38.26482391357422,15.267696380615234,22.997127532958984
sim_mid,fs10,500,1,16.928665161132812,14.577163696289062,2.35150146484375
sim_mid,fs10,1000,2,18.56195831298828,14.577163696289062,3.9847946166992188
sim_mid,fs10,1500,3,20.128164291381836,14.577163696289062,5.551000595092773
sim_mid,fs10,2000,4,26.20574378967285,14.577163696289062,11.628580093383789
sim_mid,fs10,2500,5,42.5850715637207,14.577163696289062,28.00790786743164
sim_mid,fs20,1500,1,11.86180305480957,14.577163696289062,-2.715360641479492
sim_mid,fs20,500,2,13.96390151977539,14.577163696289062,-0.6132621765136719
sim_mid,fs20,1000,3,15.05497932434082,14.577163696289062,0.4778156280517578
sim_mid,fs20,2500,4,16.11593246459961,14.577163696289062,1.5387687683105469
sim_mid,fs20,2000,5,17.96786880493164,14.577163696289062,3.390705108642578
sim_mid,fs50,2500,1,20.309574127197266,14.577163696289062,5.732410430908203
sim_mid,fs50,1000,2,20.826839447021484,14.577163696289062,6.249675750732422
sim_mid,fs50,500,3,21.62838363647461,14.577163696289062,7.051219940185547
sim_mid,fs50,1500,4,21.67809295654297,14.577163696289062,7.100929260253906
sim_mid,fs50,2000,5,24.313201904296875,14.577163696289062,9.736038208007812
